Date,Tone_score
2018.1.1,0.13856618
2018.1.2,0.16551061
2018.1.3,0.23842338
2018.1.4,0.10286659
2018.1.5,0.15096633
2018.1.6,0.17160001
2018.1.7,0.1922337
2018.1.8,0.21286738
2018.1.9,0.14585416
2018.1.10,0.10855331
2018.1.11,0.17986079
2018.1.12,0.10293905
2018.1.13,0.11007331
2018.1.14,0.11720759
2018.1.15,0.14886005
2018.1.16,0.13558121
2018.1.17,0.22620176
2018.1.18,0.039966367
2018.1.19,0.14163922
2018.1.20,0.14265911
2018.1.21,0.14367902
2018.1.22,0.14469892
2018.1.23,0.13652861
2018.1.24,0.08419939
2018.1.25,0.13959152
2018.1.26,0.14045952
2018.1.27,0.13416228
2018.1.28,0.12786505
2018.1.29,0.23403105
2018.1.30,0.09332634
2018.1.31,0.15150762
2018.2.1,0.06608019
2018.2.2,0.24557269
2018.2.3,-0.001023382
2018.2.4,0.045360968
2018.2.5,0.045063425
2018.2.6,0.17717624
2018.2.7,0.17232454
2018.2.8,0.14216234
2018.2.9,0.12156937
2018.2.10,0.11450161
2018.2.11,0.107433856
2018.2.12,0.16327415
2018.2.13,0.18872075
2018.2.14,0.10442209
2018.2.15,0.10611296
2018.2.16,0.10780382
2018.2.17,0.109494686
2018.2.18,0.11118555
2018.2.19,0.13167067
2018.2.20,0.13842303
2018.2.21,0.116529085
2018.2.22,0.0991384
2018.2.23,0.11728589
2018.2.24,0.14277454
2018.2.25,0.16826318
2018.2.26,0.13079578
2018.2.27,0.05527054
2018.2.28,0.092507295
2018.3.1,0.11460091
2018.3.2,0.13669454
2018.3.3,0.07185397
2018.3.4,0.00701341
2018.3.5,0.20066972
2018.3.6,0.092603564
2018.3.7,0.21003218
2018.3.8,0.07875999
2018.3.9,0.1591884
2018.3.10,0.15991454
2018.3.11,0.16064067
2018.3.12,0.14579847
2018.3.13,0.15522817
2018.3.14,0.17293635
2018.3.15,0.12331199
2018.3.16,0.1518182
2018.3.17,0.08377149
2018.3.18,0.015724778
2018.3.19,0.16493306
2018.3.20,0.10369513
2018.3.21,0.08217482
2018.3.22,0.098950714
2018.3.23,0.10244594
2018.3.24,0.06547843
2018.3.25,0.028510928
2018.3.26,0.13510855
2018.3.27,0.15024142
2018.3.28,0.17690094
2018.3.29,0.17580843
2018.3.30,0.15457161
2018.3.31,0.14861825
2018.4.1,0.14266488
2018.4.2,0.23409578
2018.4.3,0.19251633
2018.4.4,0.14054683
2018.4.5,0.15162009
2018.4.6,0.14201127
2018.4.7,0.1434663
2018.4.8,0.14492133
2018.4.9,0.09907776
2018.4.10,0.20804425
2018.4.11,0.11911571
2018.4.12,0.053572424
2018.4.13,0.163001
2018.4.14,0.1785263
2018.4.15,0.19405158
2018.4.16,0.20957687
2018.4.17,0.12671238
2018.4.18,0.17357755
2018.4.19,0.14860083
2018.4.20,0.16553354
2018.4.21,-0.043703735
2018.4.22,0.154815
2018.4.23,0.13148206
2018.4.24,0.0999878
2018.4.25,0.074678764
2018.4.26,0.1616243
2018.4.27,0.17887704
2018.4.28,0.1384744
2018.4.29,0.098071754
2018.4.30,0.14416298
2018.5.1,0.15358199
2018.5.2,0.163001
2018.5.3,0.09716672
2018.5.4,0.12585174
2018.5.5,0.10336121
2018.5.6,0.08087069
2018.5.7,0.07781918
2018.5.8,0.14225611
2018.5.9,0.11147936
2018.5.10,0.15270844
2018.5.11,0.06670843
2018.5.12,0.13144606
2018.5.13,0.19618368
2018.5.14,0.15459992
2018.5.15,0.13218033
2018.5.16,0.06896088
2018.5.17,0.063365154
2018.5.18,0.20081577
2018.5.19,0.15872078
2018.5.20,0.11662579
2018.5.21,0.107685834
2018.5.22,0.20245698
2018.5.23,0.10119005
2018.5.24,0.083062544
2018.5.25,0.18720157
2018.5.26,0.1655493
2018.5.27,0.14389701
2018.5.28,0.13483743
2018.5.29,0.105787255
2018.5.30,0.16601297
2018.5.31,0.11945296
2018.6.1,0.15143357
2018.6.2,0.080343656
2018.6.3,0.00925374
2018.6.4,0.0781832
2018.6.5,0.0669978
2018.6.6,-0.005470455
2018.6.7,0.08296565
2018.6.8,0.079999514
2018.6.9,0.092055604
2018.6.10,0.1041117
2018.6.11,0.120596245
2018.6.12,0.14559756
2018.6.13,0.09989152
2018.6.14,0.05418548
2018.6.15,0.052452426
2018.6.16,0.10274735
2018.6.17,0.124999724
2018.6.18,0.13301249
2018.6.19,0.14513719
2018.6.20,0.16372602
2018.6.21,0.123898946
